date,open,high,low,close,volume
1996-12-26,3.13456,3.15881,3.05438,3.05438,21452
1996-12-27,3.05438,3.05438,3.05438,3.05438,745
1996-12-30,3.08615,3.08615,3.03845,3.03845,27690
1996-12-31,3.00647,3.03845,3.00647,3.03845,15219
1997-01-02,3.00647,3.00647,2.93412,2.93412,453289
1997-01-03,2.93412,3.03845,2.93412,3.00647,992141
1997-01-06,3.03845,3.05438,3.00647,3.03845,1557190
1997-01-07,3.05438,3.207,3.03845,3.207,400399
1997-01-08,3.25511,3.35944,3.23057,3.23057,215294
1997-01-09,3.23057,3.27907,3.23057,3.25511,293125
1997-01-10,3.27907,3.30293,3.25511,3.27907,511412
1997-01-13,3.27907,3.27907,3.207,3.25511,2105276
1997-01-14,3.383,3.55968,3.35944,3.55968,1264810
1997-01-15,3.45515,3.47951,3.27907,3.27907,1654732
1997-01-16,3.207,3.25511,3.18266,3.207,1826866
1997-01-17,3.207,3.25511,3.18266,3.23057,826741
1997-01-20,3.207,3.23057,3.18266,3.18266,1480103
1997-01-21,3.207,3.23057,3.207,3.207,1473372
1997-01-22,3.23057,3.23057,3.207,3.207,1758014
1997-01-23,3.25511,3.33529,3.25511,3.27907,666834
1997-01-24,3.27907,3.4314,3.23057,3.23057,787824
1997-01-27,3.23057,3.27907,3.23057,3.23057,1040285
1997-01-28,3.23057,3.35944,3.207,3.207,629163
1997-01-29,3.207,3.27907,3.18266,3.207,954226
1997-01-30,3.207,3.25511,3.18266,3.207,1383061
1997-01-31,3.15881,3.207,3.13456,3.15881,967943
1997-02-03,3.15881,3.25511,3.13456,3.25511,1181986
1997-02-04,3.25511,3.30293,3.23057,3.30293,1172505
1997-02-05,3.30293,3.33529,3.27907,3.33529,292378
1997-02-06,3.30293,3.33529,3.30293,3.30293,402641
1997-02-07,3.30293,3.383,3.27907,3.35944,1593862
1997-02-10,3.30293,3.33529,3.27907,3.30293,597231
1997-02-11,3.25511,3.33529,3.25511,3.30293,485716
1997-02-12,3.27907,3.30293,3.25511,3.27907,249970
1997-02-13,3.27907,3.4314,3.27907,3.383,753399
1997-02-14,3.383,3.383,3.27907,3.30293,758887
1997-02-18,3.25511,3.33529,3.25511,3.30293,1308218
1997-02-19,3.27907,3.35944,3.27907,3.33529,528878
1997-02-20,3.30293,3.51158,3.30293,3.383,681802
1997-02-21,3.383,3.4314,3.35944,3.40715,412127
1997-02-24,3.40715,3.53583,3.40715,3.53583,700761
1997-02-25,3.53583,3.58354,3.51158,3.55968,295872
1997-02-26,3.51158,3.53583,3.45515,3.47951,329795
1997-02-27,3.45515,3.55968,3.40715,3.4314,538355
1997-02-28,3.33529,3.4314,3.25511,3.383,332791
1997-03-03,3.33529,3.45515,3.33529,3.383,249467
1997-03-04,3.40715,3.40715,3.35944,3.383,502431
1997-03-05,3.35944,3.383,3.27907,3.33529,969437
1997-03-06,3.33529,3.33529,3.27907,3.30293,257951
1997-03-07,3.27907,3.30293,3.18266,3.25511,606958
1997-03-10,3.25511,3.30293,3.25511,3.27907,210550
1997-03-11,3.27907,3.33529,3.27907,3.27907,906318
1997-03-12,3.27907,3.30293,3.27907,3.30293,361233
1997-03-13,3.25511,3.27907,3.25511,3.25511,227266
1997-03-14,3.25511,3.30293,3.25511,3.27907,603465
1997-03-17,3.27907,3.27907,3.207,3.207,251465
1997-03-18,3.25511,3.25511,3.207,3.23057,197577
1997-03-19,3.23057,3.27907,3.23057,3.27907,1558685
1997-03-20,3.27907,3.27907,3.23057,3.25511,134967
1997-03-21,3.23057,3.27907,3.18266,3.207,504678
1997-03-24,3.18266,3.207,3.13456,3.13456,151677
1997-03-25,3.08615,3.15881,3.03845,3.05438,165645
1997-03-26,3.00647,3.03845,2.93412,3.03845,211303
1997-03-27,3.00647,3.08615,3.00647,3.05438,155168
1997-03-31,3.03845,3.08615,2.98242,2.98242,214296
1997-04-01,2.98242,3.00647,2.95827,2.95827,332791
1997-04-02,2.95827,2.98242,2.93412,2.93412,178867
1997-04-03,2.95827,2.98242,2.93412,2.95827,180115
1997-04-04,2.95827,2.98242,2.95827,2.95827,1384055
1997-04-07,2.95827,2.95827,2.90204,2.93412,101038
1997-04-08,2.90204,2.98242,2.85414,2.98242,180115
1997-04-09,2.95827,3.03845,2.93412,3.03845,250221
1997-04-10,3.00647,3.15881,3.00647,3.08615,106774
1997-04-11,3.00647,3.03845,2.93412,2.93412,341522
1997-04-14,2.93412,2.95827,2.88621,2.88621,253709
1997-04-15,2.88621,2.93412,2.88621,2.93412,185598
1997-04-16,2.90204,3.00647,2.90204,3.00647,157914
1997-04-17,3.13456,3.23057,3.13456,3.18266,1260572
1997-04-18,3.18266,3.207,3.18266,3.207,248970
1997-04-21,3.207,3.25511,3.18266,3.207,358240
1997-04-22,3.207,3.207,3.207,3.207,155918
1997-04-23,3.207,3.23057,3.207,3.207,99291
1997-04-24,3.207,3.23057,3.207,3.207,337532
1997-04-25,3.207,3.23057,3.207,3.207,94796
1997-04-28,3.207,3.23057,3.207,3.207,76085
1997-04-29,3.23057,3.35944,3.23057,3.35944,311839
1997-04-30,3.383,3.60739,3.35944,3.53583,992388
1997-05-01,3.47951,3.53583,3.47951,3.51158,407633
1997-05-02,3.47951,3.7038,3.47951,3.67975,226769
1997-05-05,3.65589,3.67975,3.60739,3.63164,309592
1997-05-06,3.58354,3.67975,3.55968,3.65589,211303
1997-05-07,3.65589,3.67975,3.63164,3.63164,184857
1997-05-08,3.60739,3.63164,3.55968,3.58354,150179
1997-05-09,3.58354,3.65589,3.58354,3.58354,85316
1997-05-12,3.7038,3.83189,3.67975,3.80812,162901
1997-05-13,3.75982,3.80812,3.73586,3.78407,83327
1997-05-14,3.73586,3.73586,3.60739,3.63164,186354
1997-05-15,3.60739,3.67975,3.60739,3.63164,183611
1997-05-16,3.63164,3.63164,3.55968,3.58354,186607
1997-05-19,3.55968,3.60739,3.53583,3.58354,86560
1997-05-20,3.58354,3.58354,3.53583,3.53583,84569
1997-05-21,3.53583,3.60739,3.53583,3.58354,76085
1997-05-22,3.53583,3.91225,3.53583,3.91225,286888
1997-05-23,3.85643,3.85643,3.75982,3.75982,47651
1997-05-27,3.7038,3.75982,3.7038,3.75982,93050
1997-05-28,3.75982,3.80812,3.73586,3.78407,76085
1997-05-29,3.78407,3.83189,3.75982,3.80812,86815
1997-05-30,3.7038,3.73586,3.67975,3.7038,187848
1997-06-02,3.67975,3.78407,3.67975,3.73586,260696
1997-06-03,3.73586,3.75982,3.73586,3.75982,77083
1997-06-04,3.73586,3.78407,3.73586,3.78407,55630
1997-06-05,3.75982,3.83189,3.75982,3.80812,203567
1997-06-06,3.80812,3.96026,3.80812,3.96026,111509
1997-06-09,3.9367,4.05647,3.91225,4.00856,144196
1997-06-10,4.00856,4.05647,4.00856,4.00856,66607
1997-06-11,4.00856,4.00856,3.88038,3.88038,411126
1997-06-12,3.88038,4.00856,3.88038,4.00856,168893
1997-06-13,3.98431,4.03262,3.98431,3.98431,61121
1997-06-16,3.9367,4.05647,3.9367,4.05647,123986
1997-06-17,3.98431,3.98431,3.91225,3.98431,275913
1997-06-18,3.96026,4.00856,3.96026,4.00856,255207
1997-06-19,3.98431,4.00856,3.96026,3.98431,96796
1997-06-20,3.98431,4.00856,3.98431,3.98431,285642
1997-06-23,3.96026,4.00856,3.96026,3.98431,111765
1997-06-24,3.9367,3.9367,3.84782,3.88038,203070
1997-06-25,3.85643,3.89642,3.80812,3.80812,155421
1997-06-26,3.78407,3.80812,3.75982,3.80812,286389
1997-06-27,3.78407,3.80812,3.78407,3.80812,159906
1997-06-30,3.80021,4.18475,3.78407,4.12091,449045
1997-07-01,4.00856,4.00856,3.91225,3.9367,125982
1997-07-02,3.9367,3.96026,3.91225,3.91225,248217
1997-07-03,3.88038,3.96026,3.88038,3.89642,134967
1997-07-07,3.89642,3.91225,3.88038,3.89642,454036
1997-07-08,3.89642,4.03262,3.87217,4.01668,102028
1997-07-09,4.00074,4.00856,3.88038,3.9367,111014
1997-07-10,3.88038,3.89642,3.80021,3.80812,602720
1997-07-11,3.80812,3.80812,3.78407,3.80812,74838
1997-07-14,3.80812,3.83189,3.75982,3.81594,412871
1997-07-15,3.81594,3.85643,3.81594,3.85643,106774
1997-07-16,3.87217,4.0724,3.87217,4.03262,174630
1997-07-17,3.9367,3.9367,3.78407,3.78407,164403
1997-07-18,3.76834,3.76834,3.67173,3.67173,85316
1997-07-21,3.67975,3.67975,3.60739,3.63164,150927
1997-07-22,3.60739,3.61551,3.58354,3.59967,207809
1997-07-23,3.58354,3.60739,3.58354,3.60739,167888
1997-07-24,3.60739,3.60739,3.51158,3.51158,102534
1997-07-25,3.51158,3.51158,3.36686,3.383,184857
1997-07-28,3.35944,3.40715,3.33529,3.39933,157914
1997-07-29,3.39933,3.47158,3.39933,3.45515,200071
1997-07-30,3.44753,3.51949,3.44753,3.51158,26941
1997-07-31,3.49544,3.55968,3.47158,3.47951,318825
1997-08-01,3.45515,3.45515,3.39933,3.40715,457523
1997-08-04,3.39933,3.44753,3.39933,3.40715,257951
1997-08-05,3.40715,3.44753,3.383,3.4314,109517
1997-08-06,3.4314,3.47951,3.4314,3.47158,159159
1997-08-07,3.45515,3.47951,3.4314,3.45515,110014
1997-08-08,3.44753,3.45515,3.4314,3.45515,58878
1997-08-11,3.45515,3.45515,3.41537,3.45515,55630
1997-08-12,3.51158,3.53583,3.51158,3.53583,83820
1997-08-13,3.51949,3.54335,3.51949,3.53583,47651
1997-08-14,3.55968,3.67173,3.55968,3.65589,259696
1997-08-15,3.65589,3.84782,3.65589,3.83189,207311
1997-08-18,3.83189,3.83189,3.81594,3.83189,39416
1997-08-19,3.81594,3.84782,3.81594,3.83189,38166
1997-08-20,3.83189,3.85643,3.80812,3.85643,150431
1997-08-21,3.84782,3.85643,3.83189,3.84782,70101
1997-08-22,3.83189,3.84782,3.80812,3.81594,90560
1997-08-25,3.83189,3.83189,3.75982,3.75982,134466
1997-08-26,3.75982,3.80812,3.74408,3.78407,221528
1997-08-27,3.78407,3.80021,3.75982,3.80021,111765
1997-08-28,3.80812,3.80812,3.76834,3.78407,106774
1997-08-29,3.7038,3.74408,3.7038,3.74408,78829
1997-09-02,3.60739,3.67173,3.60739,3.65589,127479
1997-09-03,3.67173,3.7038,3.67173,3.67975,64608
1997-09-04,3.67173,3.73586,3.67173,3.73586,31179
1997-09-05,3.75982,3.75982,3.60739,3.63164,702506
1997-09-08,3.61551,3.67975,3.61551,3.67975,50643
1997-09-09,3.67173,3.7038,3.67173,3.67975,32431
1997-09-10,3.67173,3.67975,3.61551,3.64767,53137
1997-09-11,3.63164,3.64767,3.60739,3.64767,101782
1997-09-12,3.64767,3.64767,3.61551,3.63164,307096
1997-09-15,3.60739,3.60739,3.53583,3.58354,282900
1997-09-16,3.58354,3.58354,3.53583,3.54335,337532
1997-09-17,3.54335,3.55968,3.47158,3.49544,311839
1997-09-18,3.49544,3.49544,3.40715,3.41537,1968064
1997-09-19,3.41537,3.4314,3.33529,3.35944,126729
1997-09-22,3.30293,3.33529,3.25511,3.33529,450543
1997-09-23,3.33529,3.34301,3.27085,3.30293,706995
1997-09-24,3.2953,3.30293,3.27907,3.30293,102534
1997-09-25,3.30293,3.34301,3.30293,3.31906,76837
1997-09-26,3.31906,3.39933,3.2953,3.39933,463514
1997-09-29,3.383,3.44753,3.383,3.41537,723960
1997-09-30,3.40715,3.4314,3.35944,3.39933,272422
1997-10-01,3.383,3.39933,3.35944,3.36686,500431
1997-10-02,3.35944,3.39933,3.35944,3.36686,411625
1997-10-03,3.36686,3.41537,3.36686,3.39933,225267
1997-10-06,3.35944,3.40715,3.35944,3.40715,862165
1997-10-07,3.40715,3.44753,3.39933,3.44753,449541
1997-10-08,3.4314,3.45515,3.41537,3.45515,110014
1997-10-09,3.40715,3.44753,3.39933,3.40715,144196
1997-10-10,3.39933,3.40715,3.383,3.383,484968
1997-10-13,3.383,3.383,3.30293,3.33529,175376
1997-10-14,3.30293,3.31906,3.27907,3.27907,223275
1997-10-15,3.27907,3.27907,3.27085,3.27085,209301
1997-10-16,3.27085,3.34301,3.27085,3.30293,175376
1997-10-17,3.27085,3.27907,3.25511,3.27907,110764
1997-10-20,3.27085,3.27907,3.25511,3.27085,101286
1997-10-21,3.27907,3.383,3.27907,3.36686,282151
1997-10-22,3.34301,3.36686,3.34301,3.35944,58373
1997-10-23,3.23057,3.31906,3.23057,3.31906,180367
1997-10-24,3.30293,3.36686,3.2953,3.36686,84317
1997-10-27,3.34301,3.36686,3.30293,3.31906,211551
1997-10-28,3.27085,3.34301,3.2468,3.31906,163401
1997-10-29,3.36686,3.45515,3.36686,3.45515,173383
1997-10-30,3.4314,3.4314,3.40715,3.40715,84569
1997-10-31,3.40715,3.40715,3.33529,3.34301,134967
1997-11-03,3.35944,3.4314,3.35944,3.41537,69105
1997-11-04,3.40715,3.4314,3.35944,3.35944,126980
1997-11-05,3.35944,3.36686,3.31906,3.31906,192592
1997-11-06,3.33529,3.35944,3.31906,3.33529,172632
1997-11-07,3.33529,3.35944,3.31906,3.33529,49894
1997-11-10,3.33529,3.36686,3.33529,3.36686,50393
1997-11-11,3.35944,3.35944,3.34301,3.34301,83327
1997-11-12,3.33529,3.34301,3.31906,3.33529,156420
1997-11-13,3.34301,3.36686,3.34301,3.34301,47148
1997-11-14,3.35944,3.35944,3.34301,3.34301,47901
1997-11-17,3.33529,3.383,3.33529,3.36686,97790
1997-11-18,3.36686,3.40715,3.36686,3.383,178867
1997-11-19,3.39933,3.40715,3.383,3.39933,62370
1997-11-20,3.40715,3.47158,3.383,3.44753,202320
1997-11-21,3.47158,3.47951,3.30293,3.30293,111014
1997-11-24,3.30293,3.34301,3.30293,3.31906,106522
1997-11-25,3.31906,3.31906,3.27085,3.2953,35425
1997-11-26,3.27907,3.30293,3.27085,3.30293,32676
1997-11-28,3.2953,3.31906,3.27085,3.27085,42409
1997-12-01,3.27085,3.36686,3.27085,3.36686,53884
1997-12-02,3.35944,3.4314,3.35944,3.40715,57382
1997-12-03,3.39933,3.39933,3.2953,3.2953,83820
1997-12-04,3.2953,3.30293,3.25511,3.25511,68604
1997-12-05,3.2468,3.30293,3.2468,3.30293,81576
1997-12-08,3.2953,3.35944,3.2953,3.34301,53387
1997-12-09,3.34301,3.36686,3.33529,3.34301,257699
1997-12-10,3.34301,3.34301,3.33529,3.33529,92300
1997-12-11,3.31906,3.31906,3.27907,3.31906,545591
1997-12-12,3.31906,3.33529,3.27085,3.33529,97041
1997-12-15,3.34301,3.34301,3.2953,3.31906,325558
1997-12-16,3.30293,3.383,3.2953,3.383,196084
1997-12-17,3.36686,3.383,3.36686,3.383,58373
1997-12-18,3.36686,3.39933,3.36686,3.36686,92053
1997-12-19,3.27085,3.35944,3.25511,3.35944,106026
1997-12-22,3.34301,3.35944,3.33529,3.35944,61617
1997-12-23,3.383,3.44753,3.35944,3.40715,101286
1997-12-24,3.40715,3.40715,3.40715,3.40715,49894
1997-12-26,3.40715,3.40715,3.383,3.383,16714
1997-12-29,3.35944,3.36686,3.35944,3.36686,42907
1997-12-30,3.36686,3.39933,3.36686,3.383,78332
1997-12-31,3.39933,3.40715,3.36686,3.383,154670
1998-01-02,3.383,3.4314,3.35944,3.4314,127980
1998-01-05,3.40715,3.40715,3.383,3.39933,111509
1998-01-06,3.35944,3.36686,3.27907,3.33529,61121
1998-01-07,3.30293,3.30293,3.27085,3.27907,127479
1998-01-08,3.23057,3.27907,3.23057,3.27907,106026
1998-01-09,3.25511,3.27085,3.19087,3.207,56131
1998-01-12,3.18266,3.25511,3.14257,3.21483,73341
1998-01-13,3.207,3.23057,3.207,3.21483,17962
1998-01-14,3.207,3.2468,3.207,3.23057,35925
1998-01-15,3.21483,3.27085,3.21483,3.27085,30685
1998-01-16,3.2953,3.33529,3.27085,3.2953,80329
1998-01-20,3.25511,3.27085,3.25511,3.27085,100288
1998-01-21,3.25511,3.27907,3.23057,3.23057,117746
1998-01-22,3.2468,3.27907,3.23057,3.27085,167888
1998-01-23,3.2468,3.27085,3.23057,3.23057,61863
1998-01-26,3.23057,3.25511,3.21483,3.2468,113511
1998-01-27,3.2468,3.35944,3.2468,3.34301,156667
1998-01-28,3.34301,3.41537,3.33529,3.39933,812270
1998-01-29,3.36686,3.39933,3.34301,3.34301,171135
1998-01-30,3.34301,3.35944,3.33529,3.33529,184110
1998-02-02,3.31906,3.33529,3.207,3.25511,279153
1998-02-03,3.2468,3.27907,3.23057,3.25511,83327
1998-02-04,3.2468,3.2953,3.2468,3.27907,452535
1998-02-05,3.27085,3.2953,3.25511,3.27085,134967
1998-02-06,3.2468,3.25511,3.23057,3.2468,63115
1998-02-09,3.21483,3.25511,3.21483,3.23057,89558
1998-02-10,3.207,3.2468,3.207,3.23057,56627
1998-02-11,3.23057,3.2468,3.21483,3.2468,48645
1998-02-12,3.23057,3.25511,3.23057,3.23057,33180
1998-02-13,3.207,3.23057,3.19087,3.207,124235
1998-02-17,3.19087,3.25511,3.19087,3.21483,47651
1998-02-18,3.19087,3.207,3.18266,3.19087,215541
1998-02-19,3.19087,3.21483,3.19087,3.207,38166
1998-02-20,3.19087,3.207,3.13456,3.19087,116251
1998-02-23,3.19087,3.21483,3.19087,3.207,237742
1998-02-24,3.23057,3.2468,3.11862,3.11862,329050
1998-02-25,3.1107,3.1107,3.0225,3.09486,108021
1998-02-26,3.08615,3.11862,3.07041,3.08615,56627
1998-02-27,3.07041,3.1107,3.07041,3.08615,34176
1998-03-02,3.1107,3.17474,3.1107,3.14257,74838
1998-03-03,3.13456,3.15881,3.13456,3.14257,101286
1998-03-04,3.09486,3.11862,3.07041,3.09486,110014
1998-03-05,3.07041,3.07041,3.05438,3.05438,33430
1998-03-06,3.09486,3.13456,3.09486,3.13456,226769
1998-03-09,3.1107,3.207,3.1107,3.19087,392171
1998-03-10,3.207,3.207,3.18266,3.19087,450543
1998-03-11,3.18266,3.207,3.18266,3.19087,135712
1998-03-12,3.19087,3.19087,3.15881,3.18266,100288
1998-03-13,3.207,3.207,3.18266,3.207,276661
1998-03-16,3.19087,3.207,3.18266,3.19087,59376
1998-03-17,3.19087,3.207,3.19087,3.19087,103775
1998-03-18,3.19087,3.207,3.18266,3.19087,27690
1998-03-19,3.19087,3.207,3.19087,3.207,30433
1998-03-20,3.207,3.207,3.17474,3.17474,229510
1998-03-23,3.15881,3.33529,3.15881,3.31906,932022
1998-03-24,3.31906,3.33529,3.30293,3.30293,42409
1998-03-25,3.30293,3.35944,3.30293,3.31906,28439
1998-03-26,3.33529,3.383,3.33529,3.34301,27690
1998-03-27,3.34301,3.34301,3.31906,3.31906,30433
1998-03-30,3.31906,3.34301,3.31906,3.34301,27190
1998-03-31,3.33529,3.36686,3.33529,3.36686,52140
1998-04-01,3.383,3.40715,3.35944,3.39933,313335
1998-04-02,3.383,3.39933,3.36686,3.383,160658
1998-04-03,3.39933,3.39933,3.35944,3.35944,150927
1998-04-06,3.383,3.39933,3.30293,3.31906,183611
1998-04-07,3.31906,3.34301,3.27085,3.27907,119246
